cuda,,x86
0.002607,,0.004491
0.001614,,0.004707
0.00215,,0.004304
0.001895,,0.004287
0.001802,,0.004306
0.001797,,0.004294
0.002065,,0.004287
0.00179,,0.004294
0.001879,,0.004322
0.001781,,0.004292
0.001795,,0.004333
0.002061,,0.004317
0.00187,,0.004293
0.001941,,0.004305
0.001938,,0.004613
0.001942,,0.004308
0.001853,,0.004291
0.001774,,0.004297
0.002073,,0.004298
0.001779,,0.004288
0.001791,,0.004314
0.002059,,0.004298
0.001905,,0.00429
0.001968,,0.004281
0.001967,,0.004289
0.001952,,0.004277
0.001961,,0.004287
0.001961,,0.004308
0.001947,,0.004403
0.00195,,0.004288
0.001952,,0.004314
0.001958,,0.004319
0.001946,,0.004292
0.001943,,0.0043
0.001945,,0.004288
0.001939,,0.004273
0.001936,,0.004284
0.001959,,0.004294
0.001964,,0.004294
0.001948,,0.004283
0.00196,,0.004314
0.001967,,0.004314
0.001963,,0.004299
0.001947,,0.004337
0.001998,,0.004314
0.001961,,0.004291
0.001952,,0.004303
0.001939,,0.0043
0.001939,,0.004304
0.001943,,0.004295
0.00196,,0.004337
0.001962,,0.004346
0.001954,,0.004302
0.00195,,0.004255
0.001947,,0.004298
0.001976,,0.004313
0.001975,,0.004341
0.001973,,0.004305
0.001949,,0.004341
0.001972,,0.004316
0.001962,,0.004313
0.001945,,0.004298
0.001956,,0.004279
0.001955,,0.004302
0.001919,,0.004295
0.001938,,0.004325
0.001979,,0.004275
0.001963,,0.004321
0.001985,,0.004321
0.00199,,0.004327
0.001979,,0.004313
0.001874,,0.004403
0.001551,,0.004323
0.001912,,0.004326
0.001567,,0.004288
0.001874,,0.004327
0.001539,,0.004277
0.001954,,0.004306
0.001947,,0.004305
0.001537,,0.004303
0.00197,,0.004335
0.001896,,0.00434
0.001545,,0.004357
0.002022,,0.004313
0.00199,,0.004309
0.001991,,0.004338
0.001994,,0.00436
0.001975,,0.004328
0.001993,,0.004358
0.001974,,0.004353
0.002008,,0.004336
0.001964,,0.004329
0.001989,,0.00436
0.001955,,0.004352
0.00198,,0.004418
0.001957,,0.004356
0.001989,,0.004322
0.001971,,0.004355
0.001994,,0.004341
0.001993,,0.004338
0.001988,,0.004338
0.002001,,0.004373
0.001984,,0.004352
0.001987,,0.004358
0.001959,,0.004318
0.001995,,0.004365
0.001999,,0.004338
0.001956,,0.004331
0.001977,,0.004342
0.001932,,0.00432
0.001993,,0.004368
0.001998,,0.004336
0.001999,,0.004401
0.001985,,0.004343
0.00201,,0.00434
0.001976,,0.004335
0.002109,,0.004417
0.001997,,0.004354
0.001988,,0.00433
0.002006,,0.004353
0.001974,,0.004364
0.001995,,0.004326
0.002013,,0.004358
0.00198,,0.004346
0.002018,,0.00432
0.001978,,0.004361
0.002008,,0.004312
0.001971,,0.004367
0.002028,,0.004366
0.002029,,0.004348
0.002,,0.004403
0.002005,,0.00439
0.002026,,0.004384
0.002017,,0.004369
0.002021,,0.004343
0.002025,,0.004402
0.002029,,0.004354
0.001988,,0.004399
0.00202,,0.004347
0.001993,,0.004384
0.00201,,0.004396
0.001958,,0.004332
0.001564,,0.004373
0.00203,,0.004346
0.002067,,0.004397
0.002016,,0.004401
0.002042,,0.004431
0.002022,,0.004372
0.002027,,0.004407
0.002045,,0.004376
0.001993,,0.004337
0.002036,,0.004392
0.001996,,0.004339
0.002032,,0.004375
0.002024,,0.004372
0.001996,,0.004394
0.002031,,0.004403
0.00205,,0.004387
0.00201,,0.004362
0.002042,,0.004401
0.002063,,0.004438
0.002006,,0.004348
0.002049,,0.004373
0.001999,,0.00438
0.002036,,0.004395
0.002047,,0.004309
0.002025,,0.004383
0.00202,,0.004357
0.002002,,0.004379
0.002023,,0.004349
0.002028,,0.004406
0.002011,,0.004351
0.002047,,0.004387
0.002068,,0.004376
0.002004,,0.004442
0.002057,,0.004388
0.002072,,0.004436
0.002031,,0.00436
0.002035,,0.004422
0.002028,,0.004427
0.00206,,0.004426
0.002011,,0.004408
0.002061,,0.004415
0.002032,,0.004392
0.00205,,0.004363
0.002008,,0.004464
0.002054,,0.004389
0.002086,,0.004435
0.002061,,0.004413
0.002085,,0.004451
0.00208,,0.004385
0.002041,,0.004445
0.002059,,0.004379
0.002087,,0.004463
0.002084,,0.004389
0.002073,,0.004473
0.002064,,0.004382
0.002029,,0.00444
0.002056,,0.00439
0.002006,,0.00446
0.002039,,0.004446
0.002,,0.004435
0.002037,,0.004536
0.002034,,0.004391
0.002126,,0.004454
0.002093,,0.004396
0.002091,,0.004511
0.002084,,0.004386
0.002069,,0.004468
0.0021,,0.004394
0.002082,,0.004475
0.002079,,0.004477
0.002106,,0.004423
0.002098,,0.004444
0.002124,,0.004472
0.002074,,0.004509
0.002097,,0.004495
0.002096,,0.004501
0.00213,,0.004511
0.002133,,0.004424
0.00214,,0.004537
0.002149,,0.004522
0.002141,,0.00454
0.00215,,0.004509
0.002137,,0.004495
0.002163,,0.004567
0.002111,,0.004505
0.002081,,0.004514
0.002101,,0.004473
0.002139,,0.004479
0.002081,,0.004501
0.002151,,0.004467
0.002123,,0.004505
0.002106,,0.004467
0.002128,,0.004461
0.002127,,0.004494
0.002085,,0.004503
0.00212,,0.004507
0.002108,,0.004529
0.002093,,0.004404
0.002111,,0.004456
0.002106,,0.004465
0.002099,,0.004474
0.002129,,0.004485
0.002097,,0.00453
0.002127,,0.004546
0.002091,,0.004525
0.002126,,0.004481
0.00212,,0.004482
0.002146,,0.00463
0.002168,,0.00453
0.002154,,0.004517
0.002142,,0.004559
0.002133,,0.004521
0.002151,,0.004516
0.002183,,0.004582
0.002161,,0.004574
0.002183,,0.004511
0.002184,,0.004528
0.002181,,0.004527
0.002133,,0.004577
0.002121,,0.004534
0.002195,,0.004544
0.002177,,0.004544
0.002146,,0.004572
0.002677,,0.004597
0.002287,,0.004612
0.002197,,0.004526
0.002203,,0.004594
0.002188,,0.004536
0.002201,,0.004575
0.002211,,0.00454
0.002209,,0.004647
0.002204,,0.00458
0.002191,,0.004587
0.00217,,0.00459
0.002181,,0.004523
0.00222,,0.004537
0.002185,,0.004532
0.002227,,0.004528
0.002246,,0.004593
0.002238,,0.00465
0.002245,,0.004588
0.002225,,0.004609
0.002195,,0.004622
0.002233,,0.004614
0.00225,,0.004571
0.002219,,0.004636
0.002235,,0.004572
0.002169,,0.004597
0.002226,,0.004566
0.002224,,0.004642
0.002267,,0.00465
0.002251,,0.004637
0.00229,,0.004638
0.002254,,0.004664
0.002286,,0.004657
0.002261,,0.004617
0.002239,,0.004644
0.002261,,0.004633
0.002246,,0.004599
0.002205,,0.004599
0.002255,,0.004613
0.00223,,0.004639
0.002239,,0.004604
0.002241,,0.004594
0.002207,,0.00462
0.002196,,0.004596
0.002252,,0.004615
0.002229,,0.004623
0.002312,,0.004628
0.002289,,0.004677
0.002265,,0.004625
0.002298,,0.004607
0.002248,,0.004607
0.002252,,0.004617
0.002278,,0.004659
0.002255,,0.004647
0.002251,,0.004599
0.00225,,0.004602
0.002259,,0.004608
0.002274,,0.004629
0.002287,,0.004695
0.002306,,0.004679
0.00234,,0.004639
0.002531,,0.004646
0.001875,,0.004734
0.002132,,0.004664
0.002323,,0.00466
0.002328,,0.004656
0.002329,,0.004636
0.002305,,0.004694
0.002278,,0.0047
0.002347,,0.004675
0.002261,,0.004671
0.002302,,0.00475
0.002286,,0.004709
0.002303,,0.004672
0.002346,,0.004684
0.002342,,0.004691
0.002393,,0.004704
0.00235,,0.004731
0.002338,,0.004695
0.002354,,0.004731
0.002347,,0.004702
0.002333,,0.004732
0.002371,,0.004707
0.002348,,0.004713
0.002355,,0.004712
0.002395,,0.004702
0.002366,,0.004772
0.002386,,0.004749
0.002387,,0.004737
0.002386,,0.004761
0.0024,,0.004732
0.002424,,0.004799
0.002422,,0.004831
0.002436,,0.004744
0.002409,,0.00479
0.002408,,0.004778
0.002415,,0.004848
0.00236,,0.004799
0.002405,,0.004788
0.002407,,0.004756
0.002409,,0.004769
0.002351,,0.004803
0.002394,,0.004789
0.002431,,0.004748
0.002401,,0.004768
0.002423,,0.004777
0.002447,,0.004806
0.00242,,0.004863
0.002405,,0.004803
0.002444,,0.004755
0.002411,,0.004817
0.002459,,0.004825
0.002461,,0.004834
0.002456,,0.004809
0.002461,,0.004773
0.00241,,0.004826
0.002432,,0.004825
0.00243,,0.004779
0.002493,,0.00488
0.002591,,0.004819
0.002465,,0.004813
0.002796,,0.004826
0.002475,,0.004888
0.002456,,0.004843
0.002504,,0.004822
0.002433,,0.004851
0.002425,,0.004836
0.002457,,0.00484
0.002484,,0.004832
0.002466,,0.004888
0.00253,,0.004879
0.002453,,0.004884
0.002428,,0.004826
0.00251,,0.004858
0.002487,,0.004824
0.002456,,0.004827
0.002539,,0.004895
0.002507,,0.00494
0.002499,,0.004891
0.002475,,0.004935
0.002507,,0.004823
0.002498,,0.004865
0.002527,,0.004853
0.002508,,0.004932
0.002527,,0.004881
0.002555,,0.00491
0.002536,,0.004963
0.002545,,0.004892
0.002557,,0.004911
0.002547,,0.004882
0.002543,,0.004917
0.002542,,0.00494
0.002541,,0.004903
0.002581,,0.004873
0.002547,,0.004964
0.002565,,0.004903
0.002588,,0.004928
0.002555,,0.004937
0.0026,,0.004959
0.002618,,0.004989
0.002577,,0.004959
0.002561,,0.00504
0.002583,,0.004949
0.002614,,0.005
0.002602,,0.004992
0.002642,,0.00497
0.00262,,0.004979
0.002661,,0.005023
0.00262,,0.005
0.002657,,0.005035
0.002639,,0.004974
0.002626,,0.005004
0.002642,,0.004997
0.002663,,0.004988
0.00268,,0.005058
0.002658,,0.004988
0.002678,,0.00502
0.002615,,0.00502
0.002655,,0.005013
0.002698,,0.005041
0.002648,,0.005008
0.002655,,0.005015
0.002711,,0.005055
0.002688,,0.00503
0.00273,,0.005103
0.002698,,0.005053
0.00271,,0.005121
0.002689,,0.005061
0.002742,,0.00513
0.002698,,0.005062
0.002736,,0.005057
0.002704,,0.005135
0.0027,,0.005099
0.002764,,0.005052
0.002774,,0.005076
0.002777,,0.00518
0.002785,,0.005122
0.00276,,0.005119
0.002754,,0.005109
0.002722,,0.005072
0.002845,,0.005053
0.002749,,0.005097
0.002757,,0.005143
0.002726,,0.005168
0.002779,,0.005084
0.00276,,0.005079
0.002772,,0.005152
0.002788,,0.005122
0.002792,,0.005198
0.002793,,0.005134
0.002796,,0.005171
0.002604,,0.005169
0.002619,,0.005136
0.002775,,0.005146
0.002806,,0.00518
